inicio,fin,cantidad_viajes
Ann & Roy Hike & Bike Trail,2908 Beanna Street,12
"Popeyes, Cactus Lane",1155 Curve Street,12
3304 Guadalupe Street,490 Little Texas Lane,12
"Popeyes, Cactus Lane",2023 East 5th Street,12
2106 West 7th Street,2500 Candlewood Court,12
2305 Newfield Lane,4200 North Lamar Boulevard,12
2203 Philomena Street,1155 Curve Street,12
1155 Curve Street,"Cambria Hotel Austin Airport, Discovery Lane",12
3708 Meredith Street,3304 Guadalupe Street,12
1517 Summer Stone Drive,2400 East Oltorf Street,12
1517 Summer Stone Drive,2508 Aldford Drive,12
1403 East 2nd Street,2702 Valley Spring Road,12
West 15th Street,7088 Easy Wind Drive,12
2908 Beanna Street,2600 La Ronde Street,12
"Popeyes, Cactus Lane",Reserve Road,12
Lady Bird Lake Hike and Bike Trail,2507 Bridle Path,12
313 Lone Oak Drive,106 East 55th Street,12
1155 Curve Street,7511 Meadowview Lane,12
3707 South 2nd Street,3304 Guadalupe Street,12
3707 South 2nd Street,3301 Hollywood Avenue,12
811 East Riverside Drive,4368 Freidrich Lane,12
490 Little Texas Lane,East 20th Street,12
1915 East Martin Luther King Jr Boulevard,2117 West 49th Street,12
2023 East 5th Street,7511 Meadowview Lane,12
2800 Tom Miller Street,1500 Royal Crest Drive,12
2023 East 5th Street,5606 Penick Drive,12
"Panera Bread, North Capital of Texas Highway",2908 Beanna Street,12
2023 East 5th Street,5305 East Oltorf Street,12
West Gibson Street,2800 Tom Miller Street,12
2023 East 5th Street,405 East Ben White Boulevard,12
West Gibson Street,2508 Aldford Drive,12
1500 Royal Crest Drive,600 Hammack Drive,12
1204 West 29th Street,313 Lone Oak Drive,12
1304 Cometa Street,2793 East 7th Street,12
842 Springdale Road,1702 Briar Street,12
3005 Scenic Drive,400 1/2 South 1st Street,12
3707 South 2nd Street,2517 Walsh Tarlton Lane,12
1911 Lightsey Road,2212 Village Way Drive,12
3600 Presidential Boulevard,Lady Bird Lake Hike and Bike Trail,12
West Gibson Street,2203 Philomena Street,12
"Panera Bread, North Capital of Texas Highway",East 20th Street,12
Country Club Creek Trail,207 West 18th Street,12
Ann & Roy Hike & Bike Trail,1157 Salina Street,12
2793 East 7th Street,5209 North Lamar Boulevard,12
Ann & Roy Hike & Bike Trail,1400 South Pleasant Valley Road,12
1400 South Pleasant Valley Road,2793 East 7th Street,12
2793 East 7th Street,3811 Avenue H,12
2305 Newfield Lane,East 20th Street,12
2793 East 7th Street,3301 Hollywood Avenue,12
"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",2008 Kinney Avenue,12
3001 West Anderson Lane,3501 Duval Road,12
East 20th Street,2305 Newfield Lane,12
7088 Easy Wind Drive,2117 West 49th Street,12
"Barley Bean, South Lamar Boulevard",1629 West 11 1/2 Street,12
2517 Walsh Tarlton Lane,2908 Beanna Street,12
"St. Edwards University, 3001 South Congress Avenue",East 20th Street,12
5209 North Lamar Boulevard,North Mopac Service Road,12
3301 Hollywood Avenue,1106 Clayton Lane,12
South Interstate 35,811 East Riverside Drive,12
"Great Hills Park & Ride, OChester Boulevard","Life Time, 4210 West Braker Lane",12
2507 Bridle Path,2002 Dexter Street,12
1702 Briar Street,510 Gate Tree Lane,12
2212 Village Way Drive,West Gibson Street,12
South Mopac Service Road,"Popeyes, Cactus Lane",12
400 West Saint Elmo Road,3707 South 2nd Street,12
2517 Walsh Tarlton Lane,4707 Weidemar Lane,12
3001 West Anderson Lane,2106 Shoalmont Drive,12
"Riverside Golf Course, 1020 Grove Boulevard",Reserve Road,12
110 Oertli Lane,709 West 6th Street,12
"Riverside Golf Course, 1020 Grove Boulevard",South Interstate 35,12
2507 Bridle Path,3301 Hollywood Avenue,12
600 Hammack Drive,811 East Riverside Drive,12
5700 South Mopac Expressway,2624 Western Trails Boulevard,12
313 Lone Oak Drive,909 East Koenig Lane,12
4200 North Lamar Boulevard,"Infiniti, Burnet Road",12
South Mopac Service Road,207 West 18th Street,12
1731 East 38½ Street,4504 Avenue C,12
Gillis District Park Trail,5001 Wasson Road,12
1104 Flanagan Cove,1629 West 11 1/2 Street,12
"The Pearl, 1301 West Koenig Lane",3811 Avenue H,12
1104 Flanagan Cove,2207 De Verne Street,12
2507 Bridle Path,1911 Lightsey Road,12
1731 East 38½ Street,4200 North Lamar Boulevard,12
2507 Bridle Path,4501 Fairview Drive,12
1731 East 38½ Street,2008 Kinney Avenue,12
5701 Mojave Drive,490 Little Texas Lane,12
"Riverside Golf Course, 1020 Grove Boulevard",Lady Bird Lake Hike and Bike Trail,12
"Riverside Golf Course, 1020 Grove Boulevard",East William Cannon Drive,12
400 West Saint Elmo Road,405 East Ben White Boulevard,12
"The Pearl, 1301 West Koenig Lane",2023 East 5th Street,12
3001 South Congress Avenue,510 Gate Tree Lane,12
"Riverside Golf Course, 1020 Grove Boulevard","Barley Bean, South Lamar Boulevard",12
1400 South Pleasant Valley Road,North Mopac Service Road,12
400 West Saint Elmo Road,West 15th Street,12
405 East Ben White Boulevard,1517 Summer Stone Drive,12
1702 Briar Street,842 Springdale Road,12
"St. Francis School, Twin Crest Drive","Infiniti, Burnet Road",12
600 Hammack Drive,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",12
3301 Hollywood Avenue,1731 East 38½ Street,12
2517 Walsh Tarlton Lane,3301 Hollywood Avenue,12
3001 South Congress Avenue,3304 Guadalupe Street,12
3001 South Congress Avenue,2624 Western Trails Boulevard,12
2241 Cromwell Circle,11405 Alterra Parkway,12
South Interstate 35,East William Cannon Drive,12
2002 Dexter Street,1104 Flanagan Cove,12
600 Hammack Drive,1500 Royal Crest Drive,12
3001 South Congress Avenue,3400 Catalina Drive,12
3001 West Anderson Lane,2106 West 7th Street,12
313 Lone Oak Drive,Ann & Roy Hike & Bike Trail,12
South Mopac Service Road,400 1/2 South 1st Street,12
2241 Cromwell Circle,1157 Salina Street,12
3001 South Congress Avenue,2609 Deerfoot Trail,12
7088 Easy Wind Drive,106 East 55th Street,12
"The Pearl, 1301 West Koenig Lane",106 East 55th Street,12
"The Pearl, 1301 West Koenig Lane",4504 Avenue C,12
South Mopac Service Road,2624 Western Trails Boulevard,12
2002 Dexter Street,11405 Alterra Parkway,12
2517 Walsh Tarlton Lane,1500 Royal Crest Drive,12
1702 Briar Street,5001 Wasson Road,12
400 West Saint Elmo Road,2624 Western Trails Boulevard,12
South Interstate 35,2517 Walsh Tarlton Lane,12
1402 Hillmont Street,5305 East Oltorf Street,12
5606 Penick Drive,1155 Curve Street,12
600 Hammack Drive,"Panera Bread, North Capital of Texas Highway",12
1903 Fairlawn Lane,2241 Cromwell Circle,12
2517 Walsh Tarlton Lane,2008 Kinney Avenue,12
611 Fairfield Lane,Lady Bird Lake Hike and Bike Trail,12
1731 East 38½ Street,5005 Red Bluff Road,12
5606 Penick Drive,2023 East 5th Street,12
6210 Shadow Valley Drive,7600 Wood Hollow Drive,12
4501 Rowood Road,4200 North Lamar Boulevard,11
5305 East Oltorf Street,5305 East Oltorf Street,11
1155 Curve Street,1419 Corona Drive,11
1911 Lightsey Road,2908 Beanna Street,11
West 15th Street,490 Little Texas Lane,11
"The Pearl, 1301 West Koenig Lane",2002 Dexter Street,11
South Interstate 35,Arnulfo Alonso Way,11
1911 Lightsey Road,3301 Hollywood Avenue,11
West Gibson Street,8608 Primrose Lane,11
7600 Wood Hollow Drive,7804 Tisdale Drive,11
3811 Avenue H,11405 Alterra Parkway,11
"Great Hills Park & Ride, OChester Boulevard",2505 Longview Street,11
1155 Curve Street,400 West Saint Elmo Road,11
Lady Bird Lake Hike and Bike Trail,2207 De Verne Street,11
3811 Avenue H,1500 Royal Crest Drive,11
207 West 18th Street,5005 Red Bluff Road,11
2008 Kinney Avenue,842 Springdale Road,11
2624 Western Trails Boulevard,4707 Weidemar Lane,11
207 West 18th Street,400 West Saint Elmo Road,11
2908 Beanna Street,3708 Meredith Street,11
3309 East 17th Street,2241 Cromwell Circle,11
2800 Tom Miller Street,948 East 50th Street,11
2908 Beanna Street,2904 Barton Skyway,11
1517 Summer Stone Drive,2106 West 7th Street,11
11405 Alterra Parkway,7804 Tisdale Drive,11
1155 Curve Street,1106 Clayton Lane,11
11405 Alterra Parkway,"The Pearl, 1301 West Koenig Lane",11
3301 Hollywood Avenue,"The Pearl, 1301 West Koenig Lane",11
6210 Shadow Valley Drive,6210 Shadow Valley Drive,11
"Great Hills Park & Ride, OChester Boulevard",207 West 18th Street,11
4501 Rowood Road,1702 Briar Street,11
1731 East 38½ Street,909 East Koenig Lane,11
4608 Mount Vernon Drive,1155 Curve Street,11
4501 Rowood Road,1629 West 11 1/2 Street,11
3811 Avenue H,Ann & Roy Butler Hike and Bike Trail,11
11405 Alterra Parkway,2904 Barton Skyway,11
8405 Hornet Drive,2106 West 7th Street,11
3811 Avenue H,Ann & Roy Hike & Bike Trail,11
"St. Edwards University, 3001 South Congress Avenue",5305 East Oltorf Street,11
842 Springdale Road,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",11
3811 Avenue H,"Infiniti, Burnet Road",11
Gillis District Park Trail,611 Fairfield Lane,11
11405 Alterra Parkway,2207 De Verne Street,11
8608 Primrose Lane,1402 Hillmont Street,11
3001 South Congress Avenue,4504 Avenue C,11
7516 Hardy Drive,1403 East 2nd Street,11
West 15th Street,2500 Candlewood Court,11
1500 Royal Crest Drive,400 West Saint Elmo Road,11
2008 Kinney Avenue,2793 East 7th Street,11
11405 Alterra Parkway,1903 Fairlawn Lane,11
West Gibson Street,"The Pearl, 1301 West Koenig Lane",11
1702 Briar Street,North Mopac Service Road,11
Red River Street,4501 Fairview Drive,11
313 Lone Oak Drive,2003 Northridge Drive,11
6210 Shadow Valley Drive,5209 North Lamar Boulevard,11
Arnulfo Alonso Way,"Infiniti, Burnet Road",11
2008 Kinney Avenue,4608 Mount Vernon Drive,11
2008 Kinney Avenue,4504 Avenue C,11
611 Fairfield Lane,"St. Francis School, Twin Crest Drive",11
106 East 55th Street,4501 Rowood Road,11
3005 Scenic Drive,1629 West 11 1/2 Street,11
North Mopac Service Road,611 Fairfield Lane,11
Arnulfo Alonso Way,West Gibson Street,11
2624 Western Trails Boulevard,2241 Cromwell Circle,11
"The Pearl, 1301 West Koenig Lane",2106 West 7th Street,11
1500 Royal Crest Drive,5001 Wasson Road,11
2400 East Oltorf Street,South Interstate 35,11
2008 Kinney Avenue,3708 Meredith Street,11
East William Cannon Drive,4368 Freidrich Lane,11
3126 Honey Tree Lane,1629 West 11 1/2 Street,11
11405 Alterra Parkway,490 Little Texas Lane,11
600 Hammack Drive,611 Fairfield Lane,11
7516 Hardy Drive,8608 Primrose Lane,11
2106 Shoalmont Drive,1500 Royal Crest Drive,11
"St. Francis School, Twin Crest Drive",8608 Primrose Lane,11
2624 Western Trails Boulevard,1903 Fairlawn Lane,11
5700 South Mopac Expressway,West Gibson Street,11
5305 East Oltorf Street,400 1/2 South 1st Street,11
6210 Shadow Valley Drive,207 West 18th Street,11
6210 Shadow Valley Drive,2605 Whitis Avenue,11
2624 Western Trails Boulevard,Lady Bird Lake Hike and Bike Trail,11
5005 Red Bluff Road,1400 South Pleasant Valley Road,11
1000 East 41st Street,3400 Catalina Drive,11
1915 East Martin Luther King Jr Boulevard,4368 Freidrich Lane,11
3707 South 2nd Street,2507 Bridle Path,11
1157 Salina Street,3001 South Congress Avenue,11
2517 Walsh Tarlton Lane,2023 East 5th Street,11
2106 West 7th Street,1000 East 41st Street,11
3005 Scenic Drive,3005 Scenic Drive,11
2500 Candlewood Court,1517 Summer Stone Drive,11
West Gibson Street,2212 Village Way Drive,11
2793 East 7th Street,Lady Bird Lake Hike and Bike Trail,11
811 East Riverside Drive,5005 Red Bluff Road,11
1204 West 29th Street,3819 Jefferson Street,11
2002 Dexter Street,2517 Walsh Tarlton Lane,11
106 East 55th Street,2507 Bridle Path,11
611 Fairfield Lane,2793 East 7th Street,11
611 Fairfield Lane,2003 Northridge Drive,11
3304 Guadalupe Street,Gillis District Park Trail,11
811 East Riverside Drive,3707 South 2nd Street,11
3304 Guadalupe Street,"Barley Bean, South Lamar Boulevard",11
3001 South Congress Avenue,Country Club Creek Trail,11
2023 East 5th Street,3001 West Anderson Lane,11
2793 East 7th Street,2002 Dexter Street,11
3707 South 2nd Street,4504 Avenue C,11
2793 East 7th Street,1731 East 38½ Street,11
3005 Scenic Drive,2908 Beanna Street,11
Lady Bird Lake Hike and Bike Trail,5209 North Lamar Boulevard,11
842 Springdale Road,1000 East 41st Street,11
2015 Cedar Bend Drive,"Infiniti, Burnet Road",11
"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",1204 West 29th Street,11
3304 Guadalupe Street,"The Pearl, 1301 West Koenig Lane",11
1731 East 38½ Street,2793 East 7th Street,11
3707 South 2nd Street,1157 Salina Street,11
106 East 55th Street,1204 West 29th Street,11
Lady Bird Lake Hike and Bike Trail,Ann & Roy Butler Hike and Bike Trail,11
1500 Royal Crest Drive,842 Springdale Road,11
3707 South 2nd Street,1517 Summer Stone Drive,11
"Panera Bread, North Capital of Texas Highway","Life Time, 4210 West Braker Lane",11
1157 Salina Street,3707 South 2nd Street,11
"Panera Bread, North Capital of Texas Highway",Lady Bird Lake Hike and Bike Trail,11
106 East 55th Street,1702 Briar Street,11
Country Club Creek Trail,2241 Cromwell Circle,11
1000 East 41st Street,"St. Francis School, Twin Crest Drive",11
Country Club Creek Trail,1155 Curve Street,11
490 Little Texas Lane,South Interstate 35,11
1000 East 41st Street,"Panera Bread, North Capital of Texas Highway",11
2793 East 7th Street,909 East Koenig Lane,11
"Circuit of The Americas, Swiss Drive",West Gibson Street,11
4200 North Lamar Boulevard,7600 Wood Hollow Drive,11
8405 Hornet Drive,Lady Bird Lake Hike and Bike Trail,11
"Panera Bread, North Capital of Texas Highway",Arnulfo Alonso Way,11
405 East Ben White Boulevard,"Cambria Hotel Austin Airport, Discovery Lane",11
Lady Bird Lake Hike and Bike Trail,3819 Jefferson Street,11
South Mopac Service Road,2106 West 7th Street,11
"Hotel Granduca Pool, Capital Ridge Driveway",1629 West 11 1/2 Street,11
811 East Riverside Drive,2904 Barton Skyway,11
5001 Wasson Road,"Popeyes, Cactus Lane",11
2800 Tom Miller Street,2505 Longview Street,11
110 Oertli Lane,2605 Whitis Avenue,11
3708 Meredith Street,2023 East 5th Street,11
2008 Kinney Avenue,"Cambria Hotel Austin Airport, Discovery Lane",11
2500 Candlewood Court,3400 Catalina Drive,11
4200 North Lamar Boulevard,"Panera Bread, North Capital of Texas Highway",11
3708 Meredith Street,2305 Newfield Lane,11
842 Springdale Road,2605 Whitis Avenue,11
3001 South Congress Avenue,4200 North Lamar Boulevard,11
West Gibson Street,4701 Monterey Oaks Boulevard,11
5005 Red Bluff Road,1419 Corona Drive,11
7804 Tisdale Drive,611 Fairfield Lane,11
842 Springdale Road,2908 Beanna Street,11
2517 Walsh Tarlton Lane,3400 Catalina Drive,11
7804 Tisdale Drive,400 1/2 South 1st Street,11
4504 Avenue C,"Barley Bean, South Lamar Boulevard",11
2305 Newfield Lane,3708 Meredith Street,11
1915 East Martin Luther King Jr Boulevard,600 Hammack Drive,11
Lady Bird Lake Hike and Bike Trail,2624 Western Trails Boulevard,11
Ann & Roy Hike & Bike Trail,Ann & Roy Butler Hike and Bike Trail,11
West Gibson Street,5700 South Mopac Expressway,11
Ann & Roy Butler Hike and Bike Trail,811 East Riverside Drive,11
1903 Fairlawn Lane,2106 West 7th Street,11
"Popeyes, Cactus Lane",2500 Candlewood Court,11
3126 Honey Tree Lane,Reserve Road,11
1517 Summer Stone Drive,1500 Royal Crest Drive,11
"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",909 East Koenig Lane,11
811 East Riverside Drive,2517 Walsh Tarlton Lane,11
1304 Cometa Street,2908 Beanna Street,11
"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",Lady Bird Lake Hike and Bike Trail,11
2023 East 5th Street,7100 Carver Avenue,11
"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",North Mopac Service Road,11
1915 East Martin Luther King Jr Boulevard,5005 Red Bluff Road,11
5001 Wasson Road,313 Lone Oak Drive,11
2702 Valley Spring Road,East 20th Street,11
490 Little Texas Lane,510 Gate Tree Lane,11
2023 East 5th Street,Arnulfo Alonso Way,11
1517 Summer Stone Drive,2207 De Verne Street,11
5700 South Mopac Expressway,2517 Walsh Tarlton Lane,11
"Popeyes, Cactus Lane",1400 South Pleasant Valley Road,11
2203 Philomena Street,1419 Corona Drive,11
1702 Briar Street,3405 Westledge Circle,11
5001 Wasson Road,5001 Wasson Road,11
1000 East 41st Street,842 Springdale Road,11
1155 Curve Street,"Popeyes, Cactus Lane",11
South Interstate 35,"Popeyes, Cactus Lane",11
West 15th Street,9669 New Airport Drive,11
2203 Philomena Street,2800 Tom Miller Street,11
7088 Easy Wind Drive,1157 Salina Street,11
"Barley Bean, South Lamar Boulevard",909 East Koenig Lane,11
11405 Alterra Parkway,1104 Flanagan Cove,11
5701 Mojave Drive,2023 East 5th Street,11
3001 South Congress Avenue,1157 Salina Street,11
11700 Stonehollow Drive,909 East Koenig Lane,11
2002 Dexter Street,Nash Hernandez Sr Road,11
2241 Cromwell Circle,948 East 50th Street,11
909 East Koenig Lane,2008 Kinney Avenue,11
2505 Longview Street,Shops at Arbor Trail,11
2904 Barton Skyway,"Popeyes, Cactus Lane",11
1903 Fairlawn Lane,909 East Koenig Lane,11
4608 Mount Vernon Drive,313 Lone Oak Drive,11
600 Hammack Drive,1629 West 11 1/2 Street,11
4707 Weidemar Lane,3707 South 2nd Street,11
Nash Hernandez Sr Road,Ann & Roy Hike & Bike Trail,11
2400 East Oltorf Street,3400 Catalina Drive,11
Arboretum Boulevard,5209 North Lamar Boulevard,11
1419 Corona Drive,611 Fairfield Lane,11
1702 Briar Street,5005 Red Bluff Road,11
4368 Freidrich Lane,2400 East Oltorf Street,11
4501 Fairview Drive,2605 Whitis Avenue,11
Reserve Road,3501 Duval Road,11
400 1/2 South 1st Street,"Life Time, 4210 West Braker Lane",11
2003 Northridge Drive,2203 Philomena Street,11
2203 Philomena Street,7511 Meadowview Lane,11
41 Margranita Crescent,East 20th Street,11
1419 Corona Drive,400 1/2 South 1st Street,11
3501 Duval Road,2505 Longview Street,11
1702 Briar Street,106 East 55th Street,11
2305 Newfield Lane,1155 Curve Street,11
4200 North Lamar Boulevard,1911 Lightsey Road,11
North Interstate 35,3304 Guadalupe Street,11
East 20th Street,2907 Townes Lane,11
400 1/2 South 1st Street,"Omni Barton Creek Resort, 8108 Barton Club Drives",11
7100 Carver Avenue,3304 Guadalupe Street,11
4200 North Lamar Boulevard,1903 Fairlawn Lane,11
"Barley Bean, South Lamar Boulevard","St. Edwards University, 3001 South Congress Avenue",11
1903 Fairlawn Lane,Ann & Roy Hike & Bike Trail,11
4200 North Lamar Boulevard,2507 Bridle Path,11
"Trader Joes, 2805 Bee Caves Road",East 20th Street,11
1500 Royal Crest Drive,1104 Flanagan Cove,11
7088 Easy Wind Drive,948 East 50th Street,11
2241 Cromwell Circle,Shops at Arbor Trail,11
2002 Dexter Street,4504 Avenue C,11
3301 Hollywood Avenue,1419 Corona Drive,11
3501 Duval Road,2605 Whitis Avenue,11
1304 Cometa Street,1500 Royal Crest Drive,11
2505 Longview Street,3567 Ranch to Market Road 2222,11
1903 Fairlawn Lane,2517 Walsh Tarlton Lane,11
Ann & Roy Butler Hike and Bike Trail,2500 Candlewood Court,11
2505 Longview Street,4707 Weidemar Lane,11
1928 Holly Hill Drive,2008 Kinney Avenue,11
