inicio,fin,cantidad_viajes
221 East 9th Street,3819 Jefferson Street,229
3600 Presidential Boulevard,909 East Koenig Lane,229
4501 Rowood Road,3600 Presidential Boulevard,228
4368 Freidrich Lane,1402 Hillmont Street,227
4200 North Lamar Boulevard,Red River Street,226
West Gibson Street,West 15th Street,226
207 West 18th Street,1000 East 41st Street,226
3811 Avenue H,2605 Whitis Avenue,225
3600 Presidential Boulevard,Gillis District Park Trail,225
709 West 6th Street,1731 East 38½ Street,224
1928 Holly Hill Drive,709 West 6th Street,224
1403 East 2nd Street,1915 East Martin Luther King Jr Boulevard,224
Red River Street,2207 De Verne Street,223
2505 Longview Street,1155 Curve Street,223
2023 East 5th Street,1155 Curve Street,223
611 Fairfield Lane,Red River Street,223
3001 South Congress Avenue,3001 South Congress Avenue,222
Red River Street,"Cambria Hotel Austin Airport, Discovery Lane",222
Reserve Road,207 West 18th Street,222
1157 Salina Street,207 West 18th Street,222
Gillis District Park Trail,West Gibson Street,221
221 East 9th Street,1517 Summer Stone Drive,220
Red River Street,1157 Salina Street,220
1500 Royal Crest Drive,1500 Royal Crest Drive,219
207 West 18th Street,2023 East 5th Street,219
3600 Presidential Boulevard,3304 Guadalupe Street,219
221 East 9th Street,Lady Bird Lake Hike and Bike Trail,219
3600 Presidential Boulevard,3001 South Congress Avenue,217
